ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Value,Price,Annex,Total,overun_%,clean_overun_%
76,KACANIK,Supply,Unknown,KA652/11/17/136,Furnizim me pajisje teknologjike per nevojat e Administrates Komunale,2011,ELITA IT NTSH,Kacanik,31-May-11,Not Provided,9843,Not Provided,9843,N/A,Not Applicable
77,KACANIK,Jobs,Unknown,KA652/11/18/536,Renovimi I disa zyreve ne objektin e Administrates Komunale,2011,P & I NNSH,Ferizaj,6-Jun-11,Not Provided,9890,Not Provided,9890,N/A,Not Applicable
78,KACANIK,Jobs,Unknown,KA652/11/24/536,Riparimi I disa zyreve ne objektin e Administrates Komunale,2011,ADAR NNSH,Kacanik,24-Jun-11,Not Provided,8563.45,Not Provided,8563.45,N/A,Not Applicable
79,KACANIK,Jobs,Unknown,KA652/11/29/536,Rregullimi I ujesjellesit dhe ndrrimi I dritareve ne Sh.F.Jusuf Gervalla paralelja ne Nikaj,2011,AR DRITI NTSH,Ferizaj,19-Jul-11,Not Provided,6339.73,Not Provided,6339.73,N/A,Not Applicable
80,KACANIK,Jobs,Unknown,KA652/11/19/521,Ndertimi I ures mbi lumin Nerodime,2011,AR DRITI NTSH,Ferizaj,21-Jul-11,Not Provided,77602,Not Provided,77602,N/A,Not Applicable
81,KACANIK,Jobs,Unknown,KA652/11/22/521,Ndertimi I serrave ne siperfaqe prej 256 m_ per subvecionimin e fermereve,2011,KASTRIOTI NSH,Ferizaj,22-Jul-11,Not Provided,36300,Not Provided,36300,N/A,Not Applicable
82,KACANIK,Supply,Unknown,KA652/11/23/121,Furnizim me makina mjelese per Lope per Subvencionimin e fermereve,2011,AGRO INTERNACIONAL,Fushe Kosove,22-Jul-11,Not Provided,9920,Not Provided,9920,N/A,Not Applicable
83,KACANIK,Jobs,Unknown,KA652/11/30/536,Asfaltimi I fushes se sportit ne shkollen fillore Idriz Seferi Bob,2011,ATC COM NNP,Kacanik,29-Jul-11,Not Provided,6000,Not Provided,6000,N/A,Not Applicable
84,KACANIK,Jobs,Unknown,KA652/11/32/521,"Asfaltimi I rruges Kacanik- Gajre, faza e pare",2011,BAGERI NPSH,Ferizaj,16-Aug-11,Not Provided,134369.9,Not Provided,134369.9,N/A,Not Applicable
85,KACANIK,Jobs,Unknown,KA652/11/36/536,Ndertimi I kanalizimit fekal ne lagjen Thaqi ne fshatin Kovaqec,2011,ATC COM NNP,Kacanik,23-Aug-11,Not Provided,9000,Not Provided,9000,N/A,Not Applicable
86,KACANIK,Jobs,Unknown,KA652/11/27/521,Rehabilitimi I gjelbrimt ne rrugen Ismail Raka ne Kacanik,2011,ATC COM NNP,Kacanik,26-Aug-11,Not Provided,66573.4,Not Provided,66573.4,N/A,Not Applicable
87,KACANIK,Jobs,Unknown,KA652/11/34/521,Meremetimi I pjeserishem ne disa shkolla ne Komunene Kacanikut,2011,INGJINJERINGU NPN,Ferizaj,5-Sep-11,Not Provided,21859.04,Not Provided,21859.04,N/A,Not Applicable
